ft_equipment_id,ft_facility_code,ft_item_type,ft_library_id,ft_model_name,ft_manu_name,ft_serial_num,ft_power_source,ft_ref_gas_type,fi_cfc_free,fn_dimh_4deg,fn_diml_4deg,fn_dimw_4deg,fn_gross_volume_4deg,fn_net_volume_4deg,fn_dimh_20deg,fn_diml_20deg,fn_dimw_20deg,fn_gross_volume_20deg,fn_net_volume_20deg,fi_supply_year,fi_supply_source,fi_operating_cond,fi_work_status,fn_temp_high,fn_temp_low,fi_food,fi_tagged,fi_installation,ft_comment,fn_temp_monitor,fi_temp_none,fi_temp_dial,fi_temp_stem,fi_temp_30_visual,fi_temp_30_sms,fi_temp_number,ft_work_remarks,fn_not_work_spare_parts,fn_not_work_finance,fn_not_work_fuel,fn_not_work_boarded,fn_days_8,fn_days_2
R-000561,02002,CREG,E321M,RCW 42 EG,Dometic,,EG,NH3,1,,,,40,10.5,,,,1.6,0,2006,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000567,02004,CREG,E321M,RCW 42 EG,Dometic,7140114,EG,NH3,1,,,,40,10.5,,,,1.6,0,2011,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000568,02005,CREG,E321M,RCW 42 EG,Dometic,0150210,EG,NH3,1,,,,40,10.5,,,,1.6,0,2010,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000569,02006,CREG,E321M,RCW 42 EG,Dometic,0150211,EG,NH3,1,,,,40,10.5,,,,1.6,0,2010,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000570,02007,CREG,E321M,RCW 42 EG,Dometic,40244515,EG,NH3,1,,,,40,10.5,,,,1.6,0,2003,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000571,02008,CREG,E321M,RCW 42 EG,Dometic,1380767,EG,NH3,1,,,,40,10.5,,,,1.6,0,2003,,2,1,,,,0,,,3,,,,,,,,,,,,,
R-000572,02009,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,404110139,E,Unknown,1,,,,68.7,24,,,,7.75,0,2003,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000573,02010,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,4AFX800095K,E,Unknown,1,,,,68.7,24,,,,7.75,0,2007,,2,3,,,,0,,,3,,,,,,,,,,,,,
R-000574,02010,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,,E,Unknown,1,,,,68.7,24,,,,7.75,0,2010,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000575,02011,CREG,E321M,RCW 42 EG,Dometic,0150223,EG,NH3,1,,,,40,10.5,,,,1.6,0,2011,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000576,02013,CREG,E321M,RCW 42 EG,Dometic,8370524,EG,NH3,1,,,,40,10.5,,,,1.6,0,2010,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000580,02015,CREG,E321M,RCW 42 EG,Dometic,0150219,EG,NH3,1,,,,40,10.5,,,,1.6,0,2011,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000512,03021,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,2041R00056,E,Unknown,1,,,,103,30,,,,0,0,2010,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000513,03022,CREG,E321M,RCW 42 EG,Dometic,,EG,NH3,1,,,,40,10.5,,,,1.6,0,2010,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000514,03023,IFEK,E3102M,GR 265 EK,Zero,Barcodelabel,EK,NH3,1,,,,0,0,,,,215,16,2008,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000524,03024,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,,E,Unknown,1,,,,103,30,,,,0,0,2002,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000515,03025,CREG,E321M,RCW 42 EG,Dometic,,EG,NH3,1,,,,40,10.5,,,,1.6,0,2009,,2,1,,,,0,,,1,,,,,,,,,,,,,
