ft_equipment_id,ft_facility_code,ft_item_type,ft_library_id,ft_model_name,ft_manu_name,ft_serial_num,ft_power_source,ft_ref_gas_type,fi_cfc_free,fn_dimh_4deg,fn_diml_4deg,fn_dimw_4deg,fn_gross_volume_4deg,fn_net_volume_4deg,fn_dimh_20deg,fn_diml_20deg,fn_dimw_20deg,fn_gross_volume_20deg,fn_net_volume_20deg,fi_supply_year,fi_supply_source,fi_operating_cond,fi_work_status,fn_temp_high,fn_temp_low,fi_food,fi_tagged,fi_installation,ft_comment,fn_temp_monitor,fi_temp_none,fi_temp_dial,fi_temp_stem,fi_temp_30_visual,fi_temp_30_sms,fi_temp_number,ft_work_remarks,fn_not_work_spare_parts,fn_not_work_finance,fn_not_work_fuel,fn_not_work_boarded,fn_days_8,fn_days_2
R-000162,1000-0014,SPR,E379M,VC-150 F,Dulas,328A50051,S,R134a,,,,,127,85,,,,63,0,2006,,2,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,25,1
R-000163,1000-0015,URAC,F1100,Non-PQS Upright refrigerator, AC electricity,Unknown,61000170,E,Unknown,0,80,50,28,170,55,34,43,28,0,0,2006,,3,2,,,,0,,,,0,0,0,0,0,,,0,0,-1,0,,
R-000164,1000-0016,UREK,E385M,V 170 EK,Sibir,22400093,EK,NH3,,,,,170,55,,,,47,36,2003,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000165,1000-0017,ILR,E003007,MK304,Vestfrost,20011805784,E,R134A,,,,,218,105,,,,0,0,2005,,1,1,,,,0,,,,0,-1,0,-1,0,,,0,0,0,0,0,0
R-000166,1000-0017,CFAC,E999,C320,Defy South Africa,AE982101187,E,Unknown,,,,,0,0,,,,308,0,1998,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000167,1000-0018,UREK,E389M,PR 245 EK,Zero,9420757,EK,NH3,,,,,107,18,,,,20,0,2010,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,12
R-000168,1000-0018,IFAC,E003004,TFW 800,Dometic,2215047,E,R134A,,,,,0,0,,,,247,0,2001,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000169,1000-0019,URAC,F1100,Non-PQS Upright refrigerator, AC electricity,Unknown,DA001,E,Unknown,0,76,49,45,170,55,26,45,43,0,0,2005,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,25,2
R-000170,1000-0020,URAC,F1100,Non-PQS Upright refrigerator, AC electricity,Unknown,42500049,E,Unknown,0,88,48,44,170,55,20,40,40,0,0,2004,,1,1,,,,0,,,,0,-1,0,-1,0,,,0,0,0,0,0,0
R-000171,1000-0021,UREK,E385M,V 170 EK,Sibir,22400097,EK,NH3,,,,,170,55,,,,47,36,2007,,3,3,,,,0,,,,-1,0,0,0,0,,,0,0,-1,0,,
R-000172,1000-0022,URAC,F1100,Non-PQS Upright refrigerator, AC electricity,Unknown,3355,E,Unknown,0,96,48,42,170,55,20,42,35,0,0,2003,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000173,1000-0023,URAC,F1100,Non-PQS Upright refrigerator, AC electricity,Unknown,271048649028,E,Unknown,0,74,45,44,170,55,40,40,35,0,0,2005,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,4,0
R-000174,1000-0023,UREK,E385M,V 170 EK,Sibir,22400095,EK,NH3,,,,,170,55,,,,47,36,2004,,3,3,,,,0,,,,0,-1,0,0,0,,,-1,0,0,0,,
R-000175,1000-0024,SPR,E003001,TCW 2000 DC,Dometic,9431918,S,R134A,,,,,118,76,,,,42,30,2003,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000176,1000-0025,SPR,E379M,VC-150 F,Dulas,328A50072,S,R134a,,,,,127,85,,,,63,0,2000,,3,3,,,,0,,,,-1,0,0,0,0,,,0,0,0,-1,0,0
R-000177,1000-0025,UREK,E385M,V 170 EK,Sibir,22400128,EK,NH3,,,,,170,55,,,,47,36,2011,,3,2,,,,0,,,,-1,0,0,0,0,,,0,0,-1,0,0,0
R-000178,1000-0026,UREK,E385M,V 170 EK,Sibir,22400124,EK,NH3,,,,,170,55,,,,47,36,2005,,3,3,,,,0,,,,-1,0,0,0,0,,,0,0,0,-1,0,0
R-000179,1001-0000,URAC,F1100,Non-PQS Upright refrigerator, AC electricity,Unknown,210604109550,E,Unknown,1,96.5,53,36,170,55,36,49.5,40.5,0,0,1997,,1,1,,,,0,,,,0,-1,-1,0,0,,,0,0,0,0,0,0
R-000180,1001-0000,ILR,E003011,MK 204,Vestfrost,20011901935,E,R134a,,,,,136,75,,,,0,0,2002,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000181,1001-0001,IFEK,E3102M,GR 265 EK,Zero,10349,EK,NH3,,,,,0,0,,,,215,16,2007,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,,
R-000182,1001-0002,CREG,E388M,RCW 50 EG,Dometic,9420759,EG,NH3,,,,,70,24,,,,0,0,2010,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,,
R-000183,1001-0003,IFEK,E3102M,GR 265 EK,Zero,3322,EK,NH3,,,,,0,0,,,,215,16,2006,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,2,15
R-000184,1001-0004,SPR,E3109M,PS40,Bright Light Solar,930339,S,R134a,,,,,35,18,,,,0,24,2008,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000185,1001-0005,UREK,E387M,V 110 EK,Sibir,22400034,EK,NH3,,,,,110,17,,,,15,0,2003,,3,3,,,,0,,,,-1,0,0,0,0,,,-1,0,0,0,0,0
R-000186,1001-0005,URAC,F1100,Non-PQS Upright refrigerator, AC electricity,Unknown,BS308,E,Unknown,1,56.5,44.5,32.5,170,55,76.5,48.5,36,0,0,2006,,3,3,,,,0,,,,-1,0,0,0,0,,,0,-1,0,0,0,0
R-000187,1001-0006,IFEK,E3102M,GR 265 EK,Zero,3185,EK,NH3,,,,,0,0,,,,215,16,2006,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,17
R-000188,1001-0007,SPR,E003009,MK S044,Vestfrost,20103895695,S,R134A,,,,,48,19.5,,,,0,0,2011,,1,1,,,,0,,,,0,0,0,-1,0,,,0,0,0,0,0,0
R-000189,1001-0007,SPR,E379M,VC-150 F,Dulas,328A50081,S,R134a,,,,,127,85,,,,63,0,2008,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000190,1001-0008,CREG,E388M,RCW 50 EG,Dometic,9420811,EG,NH3,,,,,70,24,,,,0,0,2010,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,4
R-000191,1001-0009,IFEK,E3102M,GR 265 EK,Zero,3312,EK,NH3,,,,,0,0,,,,215,16,2001,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,,
R-000192,1001-0010,UREK,E385M,V 170 EK,Sibir,22400008,EK,NH3,,,,,170,55,,,,47,36,2008,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,15,0
R-000193,1001-0010,SPR,E003009,MK S044,Vestfrost,20103895716,S,R134A,,,,,48,19.5,,,,0,0,2011,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,,
R-000195,1001-0011,CREK,E391M,RCW 50 EK,Dometic,221248,EK,NH3,,,,,70,24,,,,2.4,0,2006,,1,3,,,,0,,,,0,-1,0,0,0,,,0,0,-1,0,,
R-000194,1001-0012,CREG,E388M,RCW 50 EG,Dometic,9420786,EG,NH3,,,,,70,24,,,,0,0,2010,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,,
R-000196,1001-0013,URAC,F1100,Non-PQS Upright refrigerator, AC electricity,Unknown,B13730,E,Unknown,0,92,49,36,170,55,29,49,39,0,0,2000,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000197,1001-0014,UREK,E385M,V 170 EK,Sibir,6100173,EK,NH3,,,,,170,55,,,,47,36,1999,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,,
R-000198,1001-0015,UREK,E385M,V 170 EK,Sibir,22400055,EK,NH3,,,,,170,55,,,,47,36,2005,,3,3,,,,0,,,,-1,0,0,0,0,,,-1,0,0,0,0,0
R-000199,1001-0015,ILR,E3111M,TCW 2000 AC,Dometic,9431947,E,R134A,,,,,118,60,,,,42,0,2003,,1,1,,,,0,,,,0,-1,0,-1,0,,,0,0,0,0,0,1
R-000200,1001-0016,ILR,E003007,MK304,Vestfrost,20011902003,E,R134A,,,,,218,105,,,,0,0,2002,,1,1,,,,0,,,,0,0,0,0,0,,,0,0,0,0,0,12
